,PersonId,Start_time,End_time,Total_time
13,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:07:29.823333000,0 days 00:07:57.393333000,0 days 00:00:27.570000000
14,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:08:12.908333000,0 days 00:08:14.116666000,0 days 00:00:01.208333000
15,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:08:29.258333000,0 days 00:08:35.890000000,0 days 00:00:06.631667000
16,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:08:45.941666000,0 days 00:09:06.836666000,0 days 00:00:20.895000000
17,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:09:34.865000000,0 days 00:09:49.461666000,0 days 00:00:14.596666000
18,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:10:30.546666000,0 days 00:10:30.921666000,0 days 00:00:00.375000000
19,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:11:22.765000000,0 days 00:11:23.515000000,0 days 00:00:00.750000000
20,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:11:41.575000000,0 days 00:11:42.325000000,0 days 00:00:00.750000000
21,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:11:57.966666000,0 days 00:11:58.841666000,0 days 00:00:00.875000000
22,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:21:53.645000000,0 days 00:22:22.005000000,0 days 00:00:28.360000000
23,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:22:52.411666000,0 days 00:23:41.376666000,0 days 00:00:48.965000000
24,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:24:08.030000000,0 days 00:24:30.551666000,0 days 00:00:22.521666000
25,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:26:08.316666000,0 days 00:27:10.961666000,0 days 00:01:02.645000000
26,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:27:28.186666000,0 days 00:27:40.448333000,0 days 00:00:12.261667000
27,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:27:53.255000000,0 days 00:27:56.173333000,0 days 00:00:02.918333000
28,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:28:21.740000000,0 days 00:28:23.158333000,0 days 00:00:01.418333000
29,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:28:42.136666000,0 days 00:28:48.393333000,0 days 00:00:06.256667000
30,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:28:59.655000000,0 days 00:29:21.843333000,0 days 00:00:22.188333000
31,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:29:50.121666000,0 days 00:29:58.838333000,0 days 00:00:08.716667000
32,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:30:12.685000000,0 days 00:30:41.338333000,0 days 00:00:28.653333000
33,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:30:51.516666000,0 days 00:31:03.903333000,0 days 00:00:12.386667000
34,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:31:25.923333000,0 days 00:31:32.765000000,0 days 00:00:06.841667000
35,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:31:44.025000000,0 days 00:32:23.983333000,0 days 00:00:39.958333000
36,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:32:54.723333000,0 days 00:33:06.775000000,0 days 00:00:12.051667000
37,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:33:18.496666000,0 days 00:33:26.630000000,0 days 00:00:08.133334000
38,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:33:49.443333000,0 days 00:35:04.141666000,0 days 00:01:14.698333000
39,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:35:26.498333000,0 days 00:36:22.805000000,0 days 00:00:56.306667000
40,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:36:46.370000000,0 days 00:36:55.420000000,0 days 00:00:09.050000000
41,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:37:07.725000000,0 days 00:37:25.910000000,0 days 00:00:18.185000000
42,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:37:39.881666000,0 days 00:38:18.670000000,0 days 00:00:38.788334000
43,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:38:41.068333000,0 days 00:41:25.441666000,0 days 00:02:44.373333000
44,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:42:17.285000000,0 days 00:43:04.248333000,0 days 00:00:46.963333000
45,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:43:19.346666000,0 days 00:43:20.971666000,0 days 00:00:01.625000000
46,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:44:36.006666000,0 days 00:45:09.540000000,0 days 00:00:33.533334000
47,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:47:32.640000000,0 days 00:47:33.391666000,0 days 00:00:00.751666000
48,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:47:58.876666000,0 days 00:48:13.598333000,0 days 00:00:14.721667000
49,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:49:49.820000000,0 days 00:49:56.283333000,0 days 00:00:06.463333000
50,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 00:52:01.951666000,0 days 00:52:32.273333000,0 days 00:00:30.321667000
